temperatura_C,vibracion_mm_s,presion_bar,corriente_A,horas_desde_mantenimiento,rpm,etiqueta
46.400,1.721,6.167,15.819,1110.360,1709.345,0
69.110,2.733,6.350,14.922,1575.281,1736.184,0
59.413,2.713,5.784,14.607,1342.672,1770.426,0
54.698,2.641,6.047,14.281,722.846,1766.295,0
61.784,2.476,6.414,12.519,1378.783,1824.861,0
61.698,2.244,5.895,12.906,851.831,1748.664,0
65.283,2.311,6.062,13.127,1247.115,1770.158,0
61.567,1.688,5.883,13.349,423.456,1675.968,0
55.961,2.141,5.400,14.621,342.803,1795.403,0
66.655,8.399,5.699,13.532,2271.977,1661.944,1
69.036,2.122,5.824,12.478,413.250,1729.568,0
60.334,2.339,4.917,15.915,18.645,1814.093,0
69.213,2.295,6.064,13.167,689.688,1686.067,0
64.443,2.609,6.351,14.452,1762.882,1779.715,0
64.093,2.110,6.087,12.703,641.971,1810.622,0
57.261,2.680,5.876,13.928,798.382,1781.803,0
68.227,3.114,5.437,14.177,1835.988,1790.337,0
60.838,1.195,5.535,15.188,1929.022,1742.679,0
57.335,1.958,5.617,15.216,1141.563,1740.887,0
56.119,2.049,5.839,14.232,1221.209,1764.413,0
57.782,2.034,6.051,12.830,8.871,1707.623,0
57.002,2.064,5.445,13.739,1937.824,1715.339,0
56.343,1.264,5.574,14.450,1691.324,1665.365,0
70.923,2.806,6.706,13.280,770.816,1785.536,0
69.691,1.270,6.827,15.360,1278.276,1773.484,0
65.367,1.756,6.452,13.769,976.977,1795.617,0
55.609,2.632,5.845,12.872,48.014,1761.701,0
59.192,1.323,6.244,12.430,1064.245,1763.003,0
59.899,3.336,5.979,15.824,909.316,1780.861,0
58.999,1.787,6.768,12.988,1868.395,1736.683,0
67.132,1.783,6.365,15.156,1483.895,1773.769,0
58.545,1.488,6.412,11.844,158.709,1723.613,0
56.097,1.657,6.232,15.655,1163.695,1805.322,0
65.420,3.381,6.162,13.149,1816.529,1654.648,0
63.424,2.007,5.604,14.488,492.959,1786.144,0
56.637,1.579,6.652,13.317,516.779,1762.002,0
66.011,2.534,5.368,12.725,1183.965,1788.013,0
65.922,2.769,5.288,15.453,1214.787,1779.583,0
56.341,2.339,6.073,13.770,1342.027,1726.966,0
62.007,2.551,5.706,13.677,725.752,1754.173,0
52.162,2.202,6.398,11.701,542.855,1782.249,0
64.790,2.011,6.278,13.834,257.994,1684.605,0
63.079,1.664,5.728,12.939,1495.771,1703.534,0
66.085,5.530,6.264,12.255,2167.919,1618.244,1
64.868,1.440,5.153,13.836,1641.855,1638.149,0
64.351,2.360,6.523,16.625,94.342,1750.395,0
64.310,2.260,6.429,14.965,515.472,1775.601,0
61.171,2.217,5.614,13.517,168.058,1785.370,0
64.171,1.652,5.343,12.545,985.209,1624.499,0
65.435,2.356,6.401,16.176,1039.225,1752.695,0
61.559,3.740,6.504,13.670,612.971,1792.798,0
64.889,1.309,6.171,12.298,1168.745,1714.165,0
50.825,1.672,5.553,13.067,101.030,1744.942,0
62.780,1.786,5.862,16.483,85.754,1789.094,0
53.365,2.567,6.865,12.868,510.085,1769.688,0
60.949,2.282,5.934,13.193,98.912,1663.067,0
52.639,3.028,5.637,15.095,1164.018,1840.928,0
60.841,1.837,6.228,14.447,624.104,1724.608,0
58.716,1.890,5.807,14.957,1587.067,1790.589,0
58.964,2.579,6.460,15.449,30.492,1763.859,0
